Group,Target,Model,Alpha,Lambda_rule,Best_lambda,RMSE,MAE,R2
G1_Rhythmic,valence,ElasticNet,0,lambda.min,0.005906,0.1694,0.1349,0.2586
G1_Rhythmic,valence,ElasticNet,0,lambda.1se,0.055078,0.1733,0.1397,0.2244
G1_Rhythmic,valence,ElasticNet,0.1,lambda.min,8.77e-4,0.1692,0.1345,0.2607
G1_Rhythmic,valence,ElasticNet,0.1,lambda.1se,0.024977,0.1715,0.1377,0.2401
G1_Rhythmic,valence,ElasticNet,0.2,lambda.min,4.81e-4,0.1691,0.1344,0.2609
G1_Rhythmic,valence,ElasticNet,0.2,lambda.1se,0.026287,0.1727,0.1391,0.2297
G1_Rhythmic,valence,ElasticNet,0.30000000000000004,lambda.min,3.86e-4,0.1691,0.1344,0.2609
G1_Rhythmic,valence,ElasticNet,0.30000000000000004,lambda.1se,0.023167,0.1732,0.1397,0.2253
G1_Rhythmic,valence,ElasticNet,0.4,lambda.min,3.18e-4,0.1691,0.1344,0.2609
G1_Rhythmic,valence,ElasticNet,0.4,lambda.1se,0.015832,0.1721,0.1385,0.2351
G1_Rhythmic,valence,ElasticNet,0.5,lambda.min,7.08e-4,0.1692,0.1345,0.2607
G1_Rhythmic,valence,ElasticNet,0.5,lambda.1se,0.016743,0.1732,0.1397,0.2248
G1_Rhythmic,valence,ElasticNet,0.6000000000000001,lambda.min,6.48e-4,0.1692,0.1345,0.2607
G1_Rhythmic,valence,ElasticNet,0.6000000000000001,lambda.1se,0.013952,0.1729,0.1394,0.2277
G1_Rhythmic,valence,ElasticNet,0.7000000000000001,lambda.min,6.09e-4,0.1692,0.1345,0.2607
G1_Rhythmic,valence,ElasticNet,0.7000000000000001,lambda.1se,0.010897,0.1721,0.1385,0.2345
G1_Rhythmic,valence,ElasticNet,0.8,lambda.min,2.1e-4,0.1691,0.1344,0.2609
G1_Rhythmic,valence,ElasticNet,0.8,lambda.1se,0.009535,0.172,0.1383,0.2359
G1_Rhythmic,valence,ElasticNet,0.9,lambda.min,2.71e-4,0.1691,0.1344,0.2609
G1_Rhythmic,valence,ElasticNet,0.9,lambda.1se,0.012296,0.1744,0.141,0.2139
G1_Rhythmic,valence,ElasticNet,1,lambda.min,1.85e-4,0.1691,0.1344,0.261
G1_Rhythmic,valence,ElasticNet,1,lambda.1se,0.007628,0.1718,0.1381,0.2379
G1_Rhythmic,energy,ElasticNet,0,lambda.min,0.008155,0.0854,0.0689,0.5294
G1_Rhythmic,energy,ElasticNet,0,lambda.1se,0.017165,0.0861,0.0696,0.5227
G1_Rhythmic,energy,ElasticNet,0.1,lambda.min,8.35e-4,0.0852,0.0684,0.5318
G1_Rhythmic,energy,ElasticNet,0.1,lambda.1se,0.013603,0.086,0.0696,0.5238
G1_Rhythmic,energy,ElasticNet,0.2,lambda.min,5.52e-4,0.0852,0.0684,0.5319
G1_Rhythmic,energy,ElasticNet,0.2,lambda.1se,0.014317,0.0863,0.0701,0.5195
G1_Rhythmic,energy,ElasticNet,0.30000000000000004,lambda.min,4.43e-4,0.0852,0.0684,0.5319
G1_Rhythmic,energy,ElasticNet,0.30000000000000004,lambda.1se,0.00722,0.0856,0.0693,0.5274
G1_Rhythmic,energy,ElasticNet,0.4,lambda.min,3.65e-4,0.0852,0.0684,0.5319
G1_Rhythmic,energy,ElasticNet,0.4,lambda.1se,0.01251,0.0869,0.0708,0.5133
G1_Rhythmic,energy,ElasticNet,0.5,lambda.min,8.91e-4,0.0852,0.0685,0.5318
G1_Rhythmic,energy,ElasticNet,0.5,lambda.1se,0.009119,0.0864,0.0703,0.5187
G1_Rhythmic,energy,ElasticNet,0.6000000000000001,lambda.min,8.94e-4,0.0852,0.0685,0.5317
G1_Rhythmic,energy,ElasticNet,0.6000000000000001,lambda.1se,0.006924,0.0861,0.0699,0.5222
G1_Rhythmic,energy,ElasticNet,0.7000000000000001,lambda.min,2.51e-4,0.0852,0.0684,0.5319
G1_Rhythmic,energy,ElasticNet,0.7000000000000001,lambda.1se,0.00861,0.087,0.0709,0.5122
G1_Rhythmic,energy,ElasticNet,0.8,lambda.min,2.41e-4,0.0852,0.0684,0.5319
G1_Rhythmic,energy,ElasticNet,0.8,lambda.1se,0.004731,0.0858,0.0696,0.5252
G1_Rhythmic,energy,ElasticNet,0.9,lambda.min,2.14e-4,0.0852,0.0684,0.5319
G1_Rhythmic,energy,ElasticNet,0.9,lambda.1se,0.005066,0.0861,0.0699,0.5223
G1_Rhythmic,energy,ElasticNet,1,lambda.min,2.32e-4,0.0852,0.0684,0.5319
G1_Rhythmic,energy,ElasticNet,1,lambda.1se,0.004154,0.0859,0.0697,0.5244
G2_Classical,valence,ElasticNet,0,lambda.min,0.012169,0.1769,0.139,0.3992
G2_Classical,valence,ElasticNet,0,lambda.1se,0.059173,0.182,0.144,0.3643
G2_Classical,valence,ElasticNet,0.1,lambda.min,5.92e-4,0.1749,0.1374,0.4129
G2_Classical,valence,ElasticNet,0.1,lambda.1se,0.038932,0.1818,0.1436,0.3653
G2_Classical,valence,ElasticNet,0.2,lambda.min,3.56e-4,0.1748,0.1374,0.4132
G2_Classical,valence,ElasticNet,0.2,lambda.1se,0.017737,0.1796,0.1412,0.3811
G2_Classical,valence,ElasticNet,0.30000000000000004,lambda.min,3.14e-4,0.1748,0.1374,0.4132
G2_Classical,valence,ElasticNet,0.30000000000000004,lambda.1se,0.009817,0.1779,0.1398,0.3925
G2_Classical,valence,ElasticNet,0.4,lambda.min,2.59e-4,0.1748,0.1374,0.4133
G2_Classical,valence,ElasticNet,0.4,lambda.1se,0.011723,0.1794,0.141,0.382
G2_Classical,valence,ElasticNet,0.5,lambda.min,3e-4,0.1748,0.1374,0.4132
G2_Classical,valence,ElasticNet,0.5,lambda.1se,0.010293,0.1795,0.1411,0.3812
G2_Classical,valence,ElasticNet,0.6000000000000001,lambda.min,2.28e-4,0.1748,0.1374,0.4133
G2_Classical,valence,ElasticNet,0.6000000000000001,lambda.1se,0.010332,0.1803,0.1417,0.3762
G2_Classical,valence,ElasticNet,0.7000000000000001,lambda.min,2.35e-4,0.1748,0.1374,0.4132
G2_Classical,valence,ElasticNet,0.7000000000000001,lambda.1se,0.008069,0.1796,0.141,0.381
G2_Classical,valence,ElasticNet,0.8,lambda.min,2.06e-4,0.1748,0.1374,0.4133
G2_Classical,valence,ElasticNet,0.8,lambda.1se,0.00706,0.1794,0.1409,0.3824
G2_Classical,valence,ElasticNet,0.9,lambda.min,2.2e-4,0.1748,0.1374,0.4132
G2_Classical,valence,ElasticNet,0.9,lambda.1se,0.006888,0.1799,0.1412,0.379
G2_Classical,valence,ElasticNet,1,lambda.min,1.98e-4,0.1748,0.1374,0.4132
G2_Classical,valence,ElasticNet,1,lambda.1se,0.004273,0.1776,0.1395,0.3948
G2_Classical,energy,ElasticNet,0,lambda.min,0.020577,0.0873,0.0657,0.8708
G2_Classical,energy,ElasticNet,0,lambda.1se,0.032764,0.0891,0.0673,0.8654
G2_Classical,energy,ElasticNet,0.1,lambda.min,0.001452,0.0849,0.0633,0.8778
G2_Classical,energy,ElasticNet,0.1,lambda.1se,0.025965,0.088,0.0664,0.8688
G2_Classical,energy,ElasticNet,0.2,lambda.min,0.001156,0.0849,0.0633,0.8778
G2_Classical,energy,ElasticNet,0.2,lambda.1se,0.024899,0.088,0.0663,0.8689
G2_Classical,energy,ElasticNet,0.30000000000000004,lambda.min,9.28e-4,0.0849,0.0633,0.8778
G2_Classical,energy,ElasticNet,0.30000000000000004,lambda.1se,0.0166,0.0872,0.0657,0.8711
G2_Classical,energy,ElasticNet,0.4,lambda.min,7.64e-4,0.0849,0.0632,0.8778
G2_Classical,energy,ElasticNet,0.4,lambda.1se,0.021756,0.0886,0.0668,0.867
G2_Classical,energy,ElasticNet,0.5,lambda.min,6.71e-4,0.0849,0.0632,0.8778
G2_Classical,energy,ElasticNet,0.5,lambda.1se,0.011997,0.0871,0.0656,0.8714
G2_Classical,energy,ElasticNet,0.6000000000000001,lambda.min,6.13e-4,0.0849,0.0633,0.8778
G2_Classical,energy,ElasticNet,0.6000000000000001,lambda.1se,0.013216,0.0877,0.0661,0.8697
G2_Classical,energy,ElasticNet,0.7000000000000001,lambda.min,5.26e-4,0.0849,0.0632,0.8778
G2_Classical,energy,ElasticNet,0.7000000000000001,lambda.1se,0.011328,0.0876,0.066,0.8701
G2_Classical,energy,ElasticNet,0.8,lambda.min,5.05e-4,0.0849,0.0633,0.8778
G2_Classical,energy,ElasticNet,0.8,lambda.1se,0.011939,0.088,0.0663,0.8687
G2_Classical,energy,ElasticNet,0.9,lambda.min,4.49e-4,0.0849,0.0632,0.8778
G2_Classical,energy,ElasticNet,0.9,lambda.1se,0.006665,0.0868,0.0653,0.8723
G2_Classical,energy,ElasticNet,1,lambda.min,4.04e-4,0.0849,0.0632,0.8778
G2_Classical,energy,ElasticNet,1,lambda.1se,0.009551,0.0878,0.0662,0.8692
G3_HardRock,valence,ElasticNet,0,lambda.min,0.008735,0.1906,0.1556,0.2812
G3_HardRock,valence,ElasticNet,0,lambda.1se,0.035262,0.1921,0.1566,0.2696
G3_HardRock,valence,ElasticNet,0.1,lambda.min,0.002065,0.1903,0.1555,0.2829
G3_HardRock,valence,ElasticNet,0.1,lambda.1se,0.048833,0.1947,0.1585,0.2499
G3_HardRock,valence,ElasticNet,0.2,lambda.min,5.91e-4,0.1903,0.1555,0.2833
G3_HardRock,valence,ElasticNet,0.2,lambda.1se,0.02941,0.1937,0.1577,0.2573
G3_HardRock,valence,ElasticNet,0.30000000000000004,lambda.min,5.21e-4,0.1903,0.1555,0.2833
G3_HardRock,valence,ElasticNet,0.30000000000000004,lambda.1se,0.025919,0.1943,0.1582,0.2528
G3_HardRock,valence,ElasticNet,0.4,lambda.min,4.29e-4,0.1903,0.1555,0.2833
G3_HardRock,valence,ElasticNet,0.4,lambda.1se,0.023414,0.1949,0.1586,0.2484
G3_HardRock,valence,ElasticNet,0.5,lambda.min,3.76e-4,0.1903,0.1555,0.2833
G3_HardRock,valence,ElasticNet,0.5,lambda.1se,0.017068,0.194,0.158,0.2548
G3_HardRock,valence,ElasticNet,0.6000000000000001,lambda.min,3.14e-4,0.1903,0.1555,0.2833
G3_HardRock,valence,ElasticNet,0.6000000000000001,lambda.1se,0.022647,0.1962,0.1598,0.2381
G3_HardRock,valence,ElasticNet,0.7000000000000001,lambda.min,9.01e-4,0.1904,0.1556,0.2827
G3_HardRock,valence,ElasticNet,0.7000000000000001,lambda.1se,0.011108,0.1933,0.1574,0.2604
G3_HardRock,valence,ElasticNet,0.8,lambda.min,2.58e-4,0.1903,0.1555,0.2833
G3_HardRock,valence,ElasticNet,0.8,lambda.1se,0.014101,0.1949,0.1587,0.2479
G3_HardRock,valence,ElasticNet,0.9,lambda.min,0.001475,0.1905,0.1556,0.2818
G3_HardRock,valence,ElasticNet,0.9,lambda.1se,0.013757,0.1952,0.1589,0.246
G3_HardRock,valence,ElasticNet,1,lambda.min,2.07e-4,0.1903,0.1555,0.2833
G3_HardRock,valence,ElasticNet,1,lambda.1se,0.016367,0.1965,0.1602,0.2357
G3_HardRock,energy,ElasticNet,0,lambda.min,0.009804,0.0988,0.0748,0.6179
G3_HardRock,energy,ElasticNet,0,lambda.1se,0.043437,0.1014,0.0777,0.597
G3_HardRock,energy,ElasticNet,0.1,lambda.min,0.001925,0.0984,0.0743,0.6209
G3_HardRock,energy,ElasticNet,0.1,lambda.1se,0.017948,0.0999,0.0759,0.609
G3_HardRock,energy,ElasticNet,0.2,lambda.min,9.62e-4,0.0983,0.0742,0.6213
G3_HardRock,energy,ElasticNet,0.2,lambda.1se,0.024971,0.1016,0.0774,0.5957
G3_HardRock,energy,ElasticNet,0.30000000000000004,lambda.min,7.73e-4,0.0983,0.0742,0.6213
G3_HardRock,energy,ElasticNet,0.30000000000000004,lambda.1se,0.020052,0.1016,0.0773,0.5958
G3_HardRock,energy,ElasticNet,0.4,lambda.min,6.36e-4,0.0983,0.0742,0.6213
G3_HardRock,energy,ElasticNet,0.4,lambda.1se,0.01988,0.1024,0.0779,0.5893
G3_HardRock,energy,ElasticNet,0.5,lambda.min,5.58e-4,0.0983,0.0742,0.6213
G3_HardRock,energy,ElasticNet,0.5,lambda.1se,0.014491,0.1017,0.0771,0.5952
G3_HardRock,energy,ElasticNet,0.6000000000000001,lambda.min,4.65e-4,0.0983,0.0742,0.6213
G3_HardRock,energy,ElasticNet,0.6000000000000001,lambda.1se,0.012076,0.1015,0.0769,0.5966
G3_HardRock,energy,ElasticNet,0.7000000000000001,lambda.min,4.38e-4,0.0983,0.0742,0.6213
G3_HardRock,energy,ElasticNet,0.7000000000000001,lambda.1se,0.01136,0.1018,0.0771,0.5945
G3_HardRock,energy,ElasticNet,0.8,lambda.min,3.83e-4,0.0983,0.0742,0.6213
G3_HardRock,energy,ElasticNet,0.8,lambda.1se,0.011973,0.1026,0.0778,0.5878
G3_HardRock,energy,ElasticNet,0.9,lambda.min,3.4e-4,0.0983,0.0742,0.6213
G3_HardRock,energy,ElasticNet,0.9,lambda.1se,0.009697,0.102,0.0772,0.5925
G3_HardRock,energy,ElasticNet,1,lambda.min,3.06e-4,0.0983,0.0742,0.6213
G3_HardRock,energy,ElasticNet,1,lambda.1se,0.010512,0.103,0.0781,0.5845
